[2025-01-17 09:00:38,967][       train.py][line:  67][    INFO] config: Namespace(config_path='config/busi.yaml', k_shot=16, config={'version': 'v1.0.0', 'random_seed': 100, 'data_root': 'data', 'train_dataset': 'busi', 'test_datasets': ['busi'], 'epoch': 200, 'batch_size': 8, 'print_freq_step': 10, 'val_freq_epoch': 1, 'image_size': 224, 'model_name': 'ViT-L-14', 'layers_out': [12, 18, 24], 'anomaly_tasks': {'CutpasteTask': 0.25, 'GaussIntensityChangeTask': 0.25, 'SourceTask': 0.25, 'IdentityTask': 0.25}, 'prompt_maker': 'coop', 'n_learnable_token': 8, 'CSC': True, 'class_token_positions': ['end'], 'save_root': 'results/2025_01_17_09_00_38', 'prompts': {'normal': ['normal', 'healthy', 'negative', 'unremarkable', 'clear', 'asymptomatic', 'normal findings', 'no findings', 'in good health', 'no evidence of disease'], 'abnormal': ['abnormal', 'positive', 'symptomatic', 'disease', 'lesion', 'pathological', 'impaired', 'evidence of disease', 'abnormal finding', 'pathological condition', 'pathological abnormality']}, 'model_cfg': {'embed_dim': 768, 'vision_cfg': {'image_size': 224, 'layers': 24, 'width': 1024, 'patch_size': 14}, 'text_cfg': {'context_length': 77, 'vocab_size': 49408, 'width': 768, 'heads': 12, 'layers': 12}}})
[2025-01-17 09:00:38,982][       train.py][line:  74][    INFO] load CoOp
[2025-01-17 09:00:39,154][       train.py][line: 131][    INFO] train data (busi) len 16
[2025-01-17 09:00:39,155][       train.py][line: 134][    INFO] test data (busi) len 748
[2025-01-17 09:00:39,155][       train.py][line: 137][    INFO] anomaly syn task is CutpasteTask, sampling probability is 0.25
[2025-01-17 09:00:39,155][       train.py][line: 137][    INFO] anomaly syn task is GaussIntensityChangeTask, sampling probability is 0.25
[2025-01-17 09:00:39,155][       train.py][line: 137][    INFO] anomaly syn task is SourceTask, sampling probability is 0.25
[2025-01-17 09:00:39,155][       train.py][line: 137][    INFO] anomaly syn task is IdentityTask, sampling probability is 0.25
[2025-01-17 09:01:26,953][       train.py][line: 181][    INFO] (busi): Epoch: 1, image auroc: 0.4133, pixel_auroc: 0.7366,
[2025-01-17 09:01:26,953][       train.py][line: 194][    INFO] (busi best): image auroc: 0.4133, pixel auroc: 0.7366,
[2025-01-17 09:01:26,954][       train.py][line: 208][    INFO] save checkpoints in epoch: 1
[2025-01-17 09:02:14,746][       train.py][line: 181][    INFO] (busi): Epoch: 2, image auroc: 0.5212, pixel_auroc: 0.7977,
[2025-01-17 09:02:14,746][       train.py][line: 194][    INFO] (busi best): image auroc: 0.5212, pixel auroc: 0.7977,
[2025-01-17 09:02:14,746][       train.py][line: 208][    INFO] save checkpoints in epoch: 2
[2025-01-17 09:03:02,708][       train.py][line: 181][    INFO] (busi): Epoch: 3, image auroc: 0.7734, pixel_auroc: 0.8406,
[2025-01-17 09:03:02,708][       train.py][line: 194][    INFO] (busi best): image auroc: 0.7734, pixel auroc: 0.8406,
[2025-01-17 09:03:02,709][       train.py][line: 208][    INFO] save checkpoints in epoch: 3
[2025-01-17 09:03:51,213][       train.py][line: 181][    INFO] (busi): Epoch: 4, image auroc: 0.8946, pixel_auroc: 0.8741,
[2025-01-17 09:03:51,213][       train.py][line: 194][    INFO] (busi best): image auroc: 0.8946, pixel auroc: 0.8741,
[2025-01-17 09:03:51,213][       train.py][line: 208][    INFO] save checkpoints in epoch: 4
[2025-01-17 09:03:56,574][       train.py][line: 264][    INFO] Epoch: [5/200]	Iter: [10/400]	Loss 0.87996 (0.89864)	
[2025-01-17 09:04:38,860][       train.py][line: 181][    INFO] (busi): Epoch: 5, image auroc: 0.8944, pixel_auroc: 0.8734,
[2025-01-17 09:04:38,861][       train.py][line: 194][    INFO] (busi best): image auroc: 0.8946, pixel auroc: 0.8741,
