[2025-01-23 18:03:49,966][       train.py][line:  74][    INFO] config: Namespace(config_path='config/brainmri.yaml', k_shot=16, config={'version': 'v1.0.0', 'random_seed': 100, 'data_root': 'data', 'train_dataset': 'brainmri', 'test_datasets': ['brainmri'], 'epoch': 200, 'batch_size': 8, 'print_freq_step': 10, 'val_freq_epoch': 1, 'image_size': 224, 'model_name': 'RN50', 'layers_out': [1, 2, 3, 4], 'anomaly_tasks': {'CutpasteTask': 0.25, 'GaussIntensityChangeTask': 0.25, 'SourceTask': 0.25, 'IdentityTask': 0.25}, 'prompt_maker': 'coop', 'n_learnable_token': 8, 'CSC': True, 'class_token_positions': ['end'], 'save_root': 'results/2025_01_23_18_03_49', 'prompts': {'normal': ['normal', 'healthy', 'negative', 'unremarkable', 'clear', 'asymptomatic', 'normal findings', 'no findings', 'in good health', 'no evidence of disease'], 'abnormal': ['abnormal', 'positive', 'symptomatic', 'disease', 'lesion', 'pathological', 'impaired', 'evidence of disease', 'abnormal finding', 'pathological condition', 'pathological abnormality']}, 'model_cfg': {'embed_dim': 1024, 'vision_cfg': {'image_size': 224, 'layers': [3, 4, 6, 3], 'width': 64, 'patch_size': None}, 'text_cfg': {'context_length': 77, 'vocab_size': 49408, 'width': 512, 'heads': 8, 'layers': 12}}})
[2025-01-23 18:03:49,995][       train.py][line:  81][    INFO] load CoOp
[2025-01-23 18:03:50,121][       train.py][line: 138][    INFO] train data (brainmri) len 16
[2025-01-23 18:03:50,122][       train.py][line: 141][    INFO] test data (brainmri) len 220
[2025-01-23 18:03:50,122][       train.py][line: 144][    INFO] anomaly syn task is CutpasteTask, sampling probability is 0.25
[2025-01-23 18:03:50,122][       train.py][line: 144][    INFO] anomaly syn task is GaussIntensityChangeTask, sampling probability is 0.25
[2025-01-23 18:03:50,122][       train.py][line: 144][    INFO] anomaly syn task is SourceTask, sampling probability is 0.25
[2025-01-23 18:03:50,122][       train.py][line: 144][    INFO] anomaly syn task is IdentityTask, sampling probability is 0.25
[2025-01-23 18:04:00,668][       train.py][line: 193][    INFO] (brainmri): Epoch: 1, image auroc: 0.7246,
[2025-01-23 18:04:00,668][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7246,
[2025-01-23 18:04:00,668][       train.py][line: 215][    INFO] save checkpoints in epoch: 1
[2025-01-23 18:04:10,956][       train.py][line: 193][    INFO] (brainmri): Epoch: 2, image auroc: 0.7095,
[2025-01-23 18:04:10,956][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7246,
[2025-01-23 18:04:21,342][       train.py][line: 193][    INFO] (brainmri): Epoch: 3, image auroc: 0.6742,
[2025-01-23 18:04:21,343][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7246,
[2025-01-23 18:04:31,699][       train.py][line: 193][    INFO] (brainmri): Epoch: 4, image auroc: 0.6694,
[2025-01-23 18:04:31,699][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7246,
[2025-01-23 18:04:36,820][       train.py][line: 271][    INFO] Epoch: [5/200]	Iter: [10/400]	Loss 1.00786 (0.97801)	
[2025-01-23 18:04:42,003][       train.py][line: 193][    INFO] (brainmri): Epoch: 5, image auroc: 0.7351,
[2025-01-23 18:04:42,003][       train.py][line: 208][    INFO] (brainmri best): image auroc: 0.7351,
[2025-01-23 18:04:42,003][       train.py][line: 215][    INFO] save checkpoints in epoch: 5
